nb_mut	nb_clones	cancer_type	nb_sig_subMU	seed	perc_dip	loglikelihood_MU	loglikelihood_nopi_MU	loglikelihood_subMU	loglikelihood_nopi_subMU	timestamp
20	2	0	7	1	0.0	-143.10436913841468	-144.1824191560369	-144.64949876917802	-145.39350430349634	1581935974.308618
20	2	0	7	2	0.2	-151.02225033187398	-153.21624006752748	-158.849574874772	-158.8492793675389	1581935973.1602666
20	2	0	7	3	0.4	-145.81045997742763	-150.48589732238656	-153.94247784960316	-157.92102835976894	1581936162.4983213
20	2	0	7	4	0.6	-138.1733462912117	-141.46173209139886	-145.96079856528672	-146.98391545868802	1581935962.1696062
20	2	0	7	5	0.8	-122.61206155380206	-125.93767508542332	-129.04402568773875	-129.7133833076713	1581935972.7305381
20	2	0	7	6	1.0	-116.88770523906649	-119.97411846001468	-119.4912416826228	-121.52243730057556	1581936264.5119858
20	2	1	8	7	0.0	-157.3519799821817	-159.71615678535125	-162.09968469069622	-162.57274597596881	1581935967.466682
20	2	1	8	8	0.2	-141.83508864668934	-143.55744745883575	-144.52923397896652	-145.53591902651385	1581935967.2177367
20	2	1	8	9	0.4	-133.06047492417542	-136.15647798004468	-135.6520276458857	-137.00388352267558	1581935964.9547281
20	2	1	8	10	0.6	-156.72922929162618	-164.11055064806308	-168.32795186520218	-171.1268485837989	1581935963.7431457
20	2	1	8	11	0.8	-150.2073224758133	-156.53221787311162	-159.49722254836624	-162.39589823210795	1581935964.207099
20	2	1	8	12	1.0	-131.6766030842718	-138.73902068963548	-138.45576365760064	-142.05833446117632	1581936079.5352528
20	2	2	20	13	0.0	-167.1407985639569	-168.84782585560203	-169.12803421119082	-172.22991453651142	1581935964.641436
20	2	2	20	14	0.2	-151.58748067587666	-155.60242339584082	-156.09596338971156	-158.05060761489142	1581936162.8711367
20	2	2	20	15	0.4	-160.36879611711962	-164.43994561662225	-162.77908375025828	-166.41219173134436	1581936245.2757661
20	2	2	20	16	0.6	-144.41004818747092	-150.36663639311809	-151.73681556490226	-155.06663352437832	1581935963.250334
20	2	2	20	17	0.8	-152.6183003484079	-157.9383343094019	-158.03396791714337	-160.10941783148408	1581935967.5970318
20	2	2	20	18	1.0	-140.74328100080118	-143.51794381787118	-146.9091243255499	-147.96773251673451	1581935990.4028919
20	2	3	6	19	0.0	-135.89451008896015	-138.57908500943836	-142.5712292382945	-143.03898346719862	1581935981.2203019
20	2	3	6	20	0.2	-142.84300560789939	-147.33043352659524	-146.28577724932208	-150.58343538052816	1581936004.290003
20	2	3	6	21	0.4	-147.2908941706555	-150.7312621593545	-153.778537724666	-155.01373751452303	1581936267.5693567
20	2	3	6	22	0.6	-127.70688656086	-130.08947000239908	-132.05033254827038	-132.76641768249098	1581935967.801398
20	2	3	6	23	0.8	-129.30350489954225	-131.58168575681708	-134.94109369088156	-137.1483778323807	1581935971.012735
20	2	3	6	24	1.0	-118.76550026866484	-119.7681815461754	-125.73595899277565	-127.17564914415978	1581935971.4329004
20	2	4	14	25	0.0	-162.36155166499975	-165.9644191561423	-165.65848799371358	-167.5670035162121	1581935968.6858556
20	2	4	14	26	0.2	-155.64498885066754	-158.23886518304727	-158.32055075171897	-159.85023110466992	1581935966.523239
20	2	4	14	27	0.4	-143.2615741287589	-145.75525361659123	-147.15052945913285	-148.70398802121525	1581936079.7867887
20	2	4	14	28	0.6	-139.29638155793492	-140.7564943040935	-141.5010492855335	-142.9759469688713	1581935965.406065
20	2	4	14	29	0.8	-146.05543453850896	-150.31463790065797	-150.45269433254964	-152.35568409407585	1581936161.5470226
20	2	4	14	30	1.0	-142.90797593229343	-147.49610261666416	-145.4751280203686	-149.3524266121151	1581936244.6884367
20	2	5	18	31	0.0	-143.95123565908213	-147.80391288805401	-149.79047006192957	-152.4148904179108	1581935968.3866591
20	2	5	18	32	0.2	-133.4682535213989	-133.45736605463628	-127.25494846659493	-130.09870777475805	1581935970.7102098
